"RentStation","ReturnStation","Riderships","Date"
2,185,2,2019-11-15
2,185,2,2019-11-13
2,187,90,2019-11-11
2,187,88,2019-11-15
2,187,41,2019-11-13
2,189,2,2019-11-11
2,192,2,2019-11-15
2,192,1,2019-11-13
2,194,2,2019-11-15
2,197,1,2019-11-13
2,201,2,2019-11-11
2,201,8,2019-11-15
2,205,2,2019-11-11
2,205,1,2019-11-13
2,210,1,2019-11-13
2,214,1,2019-11-13
2,215,20,2019-11-11
2,215,12,2019-11-15
2,215,12,2019-11-13
2,218,32,2019-11-11
2,218,22,2019-11-15
2,218,9,2019-11-13
2,221,2,2019-11-11
2,231,10,2019-11-11
2,231,2,2019-11-15
2,235,8,2019-11-11
2,235,8,2019-11-15
2,235,4,2019-11-13
2,240,4,2019-11-11
2,240,1,2019-11-13
2,241,6,2019-11-11
2,241,6,2019-11-15
2,241,2,2019-11-13
2,244,2,2019-11-15
2,244,2,2019-11-13
2,245,6,2019-11-15
2,248,22,2019-11-11
2,248,10,2019-11-15
2,248,10,2019-11-13
2,250,2,2019-11-11
2,250,2,2019-11-15
2,250,1,2019-11-13
2,251,2,2019-11-15
2,252,2,2019-11-11
2,255,112,2019-11-11
2,255,78,2019-11-15
2,255,39,2019-11-13
2,258,4,2019-11-11
2,258,4,2019-11-15
2,259,2,2019-11-11
2,259,2,2019-11-15
2,259,1,2019-11-13
2,261,2,2019-11-11
2,261,2,2019-11-15
2,261,2,2019-11-13
2,275,2,2019-11-11
2,276,10,2019-11-11
2,276,10,2019-11-15
2,276,5,2019-11-13
2,277,1,2019-11-13
2,279,2,2019-11-15
2,282,4,2019-11-11
2,282,4,2019-11-15
2,282,1,2019-11-13
2,287,2,2019-11-15
2,291,4,2019-11-11
2,291,2,2019-11-15
2,294,4,2019-11-11
2,294,2,2019-11-15
2,294,1,2019-11-13
2,295,4,2019-11-11
2,296,2,2019-11-15
2,300,54,2019-11-11
2,300,46,2019-11-15
2,300,17,2019-11-13
2,301,4,2019-11-15
2,304,2,2019-11-11
2,304,2,2019-11-15
2,306,2,2019-11-11
2,306,2,2019-11-15
2,306,2,2019-11-13
2,307,24,2019-11-11
2,307,18,2019-11-15
2,307,6,2019-11-13
2,308,6,2019-11-11
2,308,2,2019-11-15
2,308,2,2019-11-13
2,309,12,2019-11-11
2,309,2,2019-11-15
2,309,2,2019-11-13
2,310,2,2019-11-15
2,311,2,2019-11-11
2,311,4,2019-11-15
2,311,3,2019-11-13
2,312,26,2019-11-11
2,312,10,2019-11-15
2,312,10,2019-11-13
2,313,3,2019-11-13
2,314,8,2019-11-11
2,314,4,2019-11-15
2,314,4,2019-11-13
2,315,2,2019-11-11
2,315,1,2019-11-13
2,316,2,2019-11-11
2,319,2,2019-11-11
2,320,20,2019-11-11
2,320,12,2019-11-15
2,320,8,2019-11-13
2,326,6,2019-11-11
2,326,4,2019-11-15
2,326,4,2019-11-13
2,328,4,2019-11-15
2,332,1,2019-11-13
2,333,38,2019-11-11
2,333,36,2019-11-15
2,333,16,2019-11-13
2,334,16,2019-11-11
2,334,6,2019-11-15
2,334,4,2019-11-13
2,336,1,2019-11-13
2,338,2,2019-11-11
2,340,12,2019-11-11
2,340,12,2019-11-15
2,340,10,2019-11-13
2,343,6,2019-11-11
2,344,2,2019-11-11
2,344,2,2019-11-15
2,344,1,2019-11-13
2,345,2,2019-11-11
2,345,2,2019-11-15
2,348,2,2019-11-15
2,348,2,2019-11-13
